accession_id	study_3_FT16	study_3_FT10	study_4_Diameter	study_4_CL	study_4_Length	study_4_RL	study_4_RBN	study_4_DTF2	study_4_DTF3	study_4_DTF1	study_5_rFitness.mhi	study_5_rFitness.mhp	study_5_rSeeds.tli	study_5_rSeeds.tlp	study_5_rFitness.tlp	study_5_rFitness.tli	study_5_rSeeds.mhi	study_5_rFitness.mli	study_5_rSeeds.mli	study_5_rSeeds.thi	study_5_rFitness.thi	study_5_rFitness.thp	study_5_rSeeds.thp	study_5_rSeeds.mhp	study_5_rSeeds.mlp
88	-0.913931785361717	-1.24315660920656	-0.253884647349633	-0.561842494056176	1.06785514162527	-0.722269160532775	-1.39677208072271	-0.819297803449658	-0.94414874987201	-0.796882813193863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
108	-0.846661075009408	-0.754825686587101	0.310512029164326	-0.726479646282077	0.70941425478905	-0.544232779733943	0.0791520905428858	-0.781065343265682	-0.876882576166317	-0.860673239250524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
139	-0.827440872051606	-0.824587246961309	NA	-0.891116798507978	NA	-0.277178208535695	NA	-0.7523909981277	-0.857663669393262	-0.822398983693076	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
159	-0.673679248389186	-0.643207189988368	-0.561737380553343	-0.781358697024044	0.13192615972896	0.078894553061969	0.140648931135279	-0.714158537943725	-0.70391241520882	-0.678870525352644	0.856517711612894	0.390487550641121	-0.940114778259529	1.42606021158183	1.54446785551552	-0.868820099574479	0.508093573094345	-0.526266836700218	-0.294178102054972	-0.260953511571725	0.286373714861014	-0.66510612428306	-0.631796027029212	-0.155106292929325	NA
265	-1.03886310458743	-1.11758580053298	NA	-0.616721544798143	NA	-1.19703284266299	NA	-1.16338994510544	-1.06907164389687	-1.1190244642633	-0.281896751877289	1.29970928444368	-0.955102251258826	-0.311588711019334	0.932551141509457	-1.03534541257967	0.134138567105904	0.0439471097615919	-0.167490709942874	0.243741405207999	0.762608470140878	0.18713148662987	-0.131045002403873	0.942224601956503	NA
350	-0.875491379446112	-0.83853955903615	-2.1010010465719	-0.397205341830275	-0.0871210484949084	-0.84096008106533	0.0791520905428858	-0.914878953909598	-0.9057109363259	-0.870241803139887	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
351	-0.343732431075046	-0.796682622811625	-0.099958280747778	0.425980419299229	-1.54079797884008	-0.277178208535695	-0.781803675905719	-0.398740741425924	-0.373987849066163	-0.363107917003694	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
403	-0.769780263178198	-1.11758580053298	-0.099958280747778	-0.67160059554011	0.0721860119229227	-0.39586912906825	-0.41282263308932	-0.771507228219688	-0.800006949074096	-0.764987600356903	1.79380158729483	1.13260581907419	0.85970510262763	1.29776108323094	0.114142357471217	2.0602428274288	1.5526513907368	1.85712986827609	1.04785191198154	-1.91093345289998	-1.7055882886794	0.300094666418041	-0.561875326722672	0.740549046826988	0.21420027145714
410	-0.346935798106545	-0.419970196790902	0.720982342154959	-0.342326291088308	0.510280429565461	-0.0991418277368631	1.30908890017687	-0.38918262637993	-0.37719100006688	-0.363107917003694	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
424	-0.231614580359731	-0.0153531466204956	0.105276875747538	0.0418270641054602	-0.0871210484949084	0.138240013328246	-0.289828952273513	-0.255369015736015	-0.261877559428548	-0.257853714220711	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
428	-0.587188335079076	-0.433922508865744	0.823599918863353	-0.415498358671092	0.629760725177535	-0.504669139358607	-0.0438415902729202	-0.615391349262562	-0.617427334730071	-0.57999536529015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
430	-0.740949958741495	0.491580858763556	0.720982342154959	-1.16551205221781	0.231493072340754	-0.366196398935111	0.325139452543479	-0.742832883081706	-0.771178588914513	-0.79369329202499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
630	-0.596798436557977	-0.559493317539318	-0.099958280747778	0.206464216331361	-0.286254874913299	-0.0694690976037244	-0.0438415902729202	-0.637693617575773	-0.627036788116598	-0.669301961463282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
763	-1.35599645339117	-0.992014991859408	-2.25492741317375	-1.65942350889552	-0.326081639719056	-1.79048744532577	-0.41282263308932	-1.35455224602532	-1.38618360565228	-1.36780712538672	-0.739677470814566	-0.873415378206715	-0.327907554614839	0.800551609265651	1.06613748239001	-0.211874080618429	-1.27078921515979	-0.626406544280284	-0.820046937696352	-1.98055887208337	-1.76190187571341	0.0041796745536137	-0.418334533982747	-0.826158826577539	NA
