trial_number,params,value,state
31,"{'latent_space_g': 2852, 'gen_noise': 0.599776644766627, 'learning_rate': 0.0003487411719060403, 'num_epochs': 10, 'weights_regularization': 6.028363334539498e-05}",0.2959442585706711,COMPLETE
32,"{'latent_space_g': 2771, 'gen_noise': 0.5123278471390676, 'learning_rate': 0.0003668145637971234, 'num_epochs': 10, 'weights_regularization': 8.681530237216847e-06}",0.2973511715730031,COMPLETE
33,"{'latent_space_g': 2891, 'gen_noise': 0.6578931891871052, 'learning_rate': 0.00038632079658597, 'num_epochs': 10, 'weights_regularization': 9.346848392432917e-06}",0.28460005422433216,COMPLETE
34,"{'latent_space_g': 2499, 'gen_noise': 0.580534473000378, 'learning_rate': 0.0004000971940575071, 'num_epochs': 8, 'weights_regularization': 8.377664239077126e-06}",0.310019572575887,COMPLETE
35,"{'latent_space_g': 3247, 'gen_noise': 0.5284102221903196, 'learning_rate': 0.0008073377027415187, 'num_epochs': 9, 'weights_regularization': 4.8772914173731125e-06}",0.3038891678055127,COMPLETE
36,"{'latent_space_g': 2623, 'gen_noise': 0.5204119802674827, 'learning_rate': 0.00038773382737295516, 'num_epochs': 10, 'weights_regularization': 5.913457687654039e-05}",0.3045301114519437,COMPLETE
37,"{'latent_space_g': 1643, 'gen_noise': 0.6432311361135753, 'learning_rate': 0.00014607195019956427, 'num_epochs': 9, 'weights_regularization': 0.052505878245337013}",0.4096062754591306,COMPLETE
38,"{'latent_space_g': 1200, 'gen_noise': 0.5507276663997365, 'learning_rate': 0.0014776433348751181, 'num_epochs': 7, 'weights_regularization': 1.9564437946373967e-05}",0.35841507216294605,COMPLETE
39,"{'latent_space_g': 2046, 'gen_noise': 0.5963734615981391, 'learning_rate': 0.00036868402566863983, 'num_epochs': 8, 'weights_regularization': 7.267013625482442e-06}",0.32517129679520923,COMPLETE
40,"{'latent_space_g': 2948, 'gen_noise': 0.6617113605898465, 'learning_rate': 0.00015888832808268308, 'num_epochs': 10, 'weights_regularization': 3.2815898217539693e-06}",0.3209115043282509,COMPLETE
41,"{'latent_space_g': 2802, 'gen_noise': 0.676338601053721, 'learning_rate': 0.0002435677420682865, 'num_epochs': 10, 'weights_regularization': 2.3664407825025838e-05}",0.30433906863133114,COMPLETE
42,"{'latent_space_g': 3279, 'gen_noise': 0.6134198767949589, 'learning_rate': 0.00036035245484892164, 'num_epochs': 10, 'weights_regularization': 1.5687646768035604e-06}",0.27981337159872055,COMPLETE
43,"{'latent_space_g': 3289, 'gen_noise': 0.5699683164644834, 'learning_rate': 0.009348543965811647, 'num_epochs': 9, 'weights_regularization': 1.2051517293380342e-06}",0.4083590507507324,COMPLETE
44,"{'latent_space_g': 3327, 'gen_noise': 0.6034370808928744, 'learning_rate': 0.00033516833250129977, 'num_epochs': 1, 'weights_regularization': 1.804212480653129e-06}",0.41667188455661136,COMPLETE
45,"{'latent_space_g': 2972, 'gen_noise': 0.5158612933983752, 'learning_rate': 0.0005031505676357152, 'num_epochs': 10, 'weights_regularization': 2.1290155435389506e-06}",0.29258299122254056,COMPLETE
46,"{'latent_space_g': 2959, 'gen_noise': 0.6325683222551666, 'learning_rate': 0.0004982334587913738, 'num_epochs': 3, 'weights_regularization': 2.2120379519184203e-06}",0.35383886843919754,COMPLETE
47,"{'latent_space_g': 3124, 'gen_noise': 0.5527283038113866, 'learning_rate': 0.0009220545118549362, 'num_epochs': 9, 'weights_regularization': 5.013872916726719e-06}",0.309015691280365,COMPLETE
48,"{'latent_space_g': 647, 'gen_noise': 0.6580666685526263, 'learning_rate': 0.0006022093724325422, 'num_epochs': 8, 'weights_regularization': 1.4151128228674748e-06}",0.383110153178374,COMPLETE
49,"{'latent_space_g': 3481, 'gen_noise': 0.5945865579886125, 'learning_rate': 0.0013143083559404253, 'num_epochs': 10, 'weights_regularization': 3.016231381324455e-06}",0.3159126242001851,COMPLETE
