trial_number,params,value,state
0,"{'latent_space_p': 239, 'learning_rate': 0.00020172358536489808, 'phen_noise': 0.26946654960666283, 'num_epochs': 3, 'weights_regularization': 0.004705241929089452}",0.9890071252981821,COMPLETE
1,"{'latent_space_p': 373, 'learning_rate': 0.006422272410083193, 'phen_noise': 0.05610194371875959, 'num_epochs': 2, 'weights_regularization': 0.007629379358390182}",0.3925209914644559,COMPLETE
2,"{'latent_space_p': 176, 'learning_rate': 0.00029869076854204706, 'phen_noise': 0.17856342590332014, 'num_epochs': 4, 'weights_regularization': 0.014497899916436019}",0.843072717388471,COMPLETE
3,"{'latent_space_p': 75, 'learning_rate': 0.00023950803687602487, 'phen_noise': 0.19375142392088246, 'num_epochs': 5, 'weights_regularization': 1.7479117271130589e-06}",1.4391120771567028,COMPLETE
4,"{'latent_space_p': 297, 'learning_rate': 0.0011571453483218766, 'phen_noise': 0.0022867773403012354, 'num_epochs': 9, 'weights_regularization': 0.014628489427165825}",0.356315312286218,COMPLETE
5,"{'latent_space_p': 360, 'learning_rate': 0.0008307120018294811, 'phen_noise': 0.14708967455798333, 'num_epochs': 6, 'weights_regularization': 0.0006838548613785731}",0.33930783222119015,COMPLETE
6,"{'latent_space_p': 246, 'learning_rate': 0.0032690824214042023, 'phen_noise': 0.9408623197676808, 'num_epochs': 4, 'weights_regularization': 0.00020056434889731206}",0.4931574836373329,COMPLETE
7,"{'latent_space_p': 69, 'learning_rate': 0.000574435177079938, 'phen_noise': 0.0035238029088002533, 'num_epochs': 7, 'weights_regularization': 0.00046049532594303895}",0.8382422973712286,COMPLETE
8,"{'latent_space_p': 228, 'learning_rate': 0.00014622036641414457, 'phen_noise': 0.02352901474578486, 'num_epochs': 6, 'weights_regularization': 0.00013316484015175067}",0.7447132070859274,COMPLETE
9,"{'latent_space_p': 162, 'learning_rate': 0.0033156161541572056, 'phen_noise': 0.16744545002104758, 'num_epochs': 4, 'weights_regularization': 0.002445102681929372}",0.3793473268548648,COMPLETE
10,"{'latent_space_p': 494, 'learning_rate': 0.0008337344298456147, 'phen_noise': 0.012258021100043036, 'num_epochs': 10, 'weights_regularization': 1.2372104254817127e-05}",0.2415509782731533,COMPLETE
11,"{'latent_space_p': 496, 'learning_rate': 0.0010381319817375954, 'phen_noise': 0.011926130759321028, 'num_epochs': 10, 'weights_regularization': 7.424357653023426e-06}",0.2684839069843292,COMPLETE
12,"{'latent_space_p': 486, 'learning_rate': 0.0016854827102821645, 'phen_noise': 0.008936987958925299, 'num_epochs': 10, 'weights_regularization': 8.08183669984923e-06}",0.2584816242257754,COMPLETE
13,"{'latent_space_p': 499, 'learning_rate': 0.002126131795944713, 'phen_noise': 0.011121618284229319, 'num_epochs': 8, 'weights_regularization': 2.588783295194527e-05}",0.26580584794282913,COMPLETE
14,"{'latent_space_p': 423, 'learning_rate': 0.0004485221100493734, 'phen_noise': 0.001196620332174022, 'num_epochs': 10, 'weights_regularization': 2.115916177365448e-05}",0.3139395515124003,COMPLETE
15,"{'latent_space_p': 430, 'learning_rate': 0.0017684605898503492, 'phen_noise': 0.005806785286157195, 'num_epochs': 8, 'weights_regularization': 1.3059774531460409e-06}",0.30598438034454983,COMPLETE
16,"{'latent_space_p': 427, 'learning_rate': 0.007303548860943092, 'phen_noise': 0.03708861877500785, 'num_epochs': 9, 'weights_regularization': 7.904843552209332e-06}",0.30265697588523227,COMPLETE
17,"{'latent_space_p': 311, 'learning_rate': 0.0017276564553995732, 'phen_noise': 0.009350069862235794, 'num_epochs': 10, 'weights_regularization': 4.813692237456497e-05}",0.2850334470470746,COMPLETE
18,"{'latent_space_p': 458, 'learning_rate': 0.0005475410826965133, 'phen_noise': 0.020650211509093377, 'num_epochs': 1, 'weights_regularization': 3.895860206607718e-06}",0.4649135619401932,COMPLETE
19,"{'latent_space_p': 377, 'learning_rate': 0.0001058118247895327, 'phen_noise': 0.06867059171369698, 'num_epochs': 8, 'weights_regularization': 8.583424427128253e-05}",0.4101749161879222,COMPLETE
20,"{'latent_space_p': 332, 'learning_rate': 0.004099231137844122, 'phen_noise': 0.0037510098282470482, 'num_epochs': 9, 'weights_regularization': 1.545109952799606e-05}",0.27632853388786316,COMPLETE
21,"{'latent_space_p': 496, 'learning_rate': 0.0018160457633448924, 'phen_noise': 0.010980389682473446, 'num_epochs': 8, 'weights_regularization': 1.872912480917127e-05}",0.2660287469625473,COMPLETE
22,"{'latent_space_p': 465, 'learning_rate': 0.002451147409936135, 'phen_noise': 0.006697603243972998, 'num_epochs': 10, 'weights_regularization': 5.348295679863191e-05}",0.24767842019597688,COMPLETE
23,"{'latent_space_p': 456, 'learning_rate': 0.0007733433642603597, 'phen_noise': 0.0057768157138184655, 'num_epochs': 10, 'weights_regularization': 0.06161271949679538}",0.27414799233277637,COMPLETE
24,"{'latent_space_p': 399, 'learning_rate': 0.0013086827921888718, 'phen_noise': 0.0011531568894344985, 'num_epochs': 9, 'weights_regularization': 4.255681591956877e-06}",0.26350273936986923,COMPLETE
25,"{'latent_space_p': 445, 'learning_rate': 0.002612396341468486, 'phen_noise': 0.022364763731541785, 'num_epochs': 7, 'weights_regularization': 5.3549994756810316e-05}",0.2801867226759593,COMPLETE
26,"{'latent_space_p': 20, 'learning_rate': 0.005010210467982962, 'phen_noise': 0.002210096135880067, 'num_epochs': 10, 'weights_regularization': 2.6778312066182103e-06}",0.794436534245809,COMPLETE
27,"{'latent_space_p': 470, 'learning_rate': 0.009727989884969484, 'phen_noise': 0.005405282378302739, 'num_epochs': 7, 'weights_regularization': 0.0008864789343861071}",0.3101564695437749,COMPLETE
28,"{'latent_space_p': 393, 'learning_rate': 0.0003898818849485984, 'phen_noise': 0.01638726625748805, 'num_epochs': 9, 'weights_regularization': 9.138586906299754e-06}",0.30144860098759335,COMPLETE
29,"{'latent_space_p': 340, 'learning_rate': 0.0013060834261188906, 'phen_noise': 0.04447737794050803, 'num_epochs': 10, 'weights_regularization': 1.007803163941689e-06}",0.2569925896823406,COMPLETE
30,"{'latent_space_p': 336, 'learning_rate': 0.0007486260946045703, 'phen_noise': 0.08567836372300938, 'num_epochs': 9, 'weights_regularization': 1.0296770057550007e-06}",0.3173039232691129,COMPLETE
31,"{'latent_space_p': 467, 'learning_rate': 0.0013026645433879503, 'phen_noise': 0.0350541934274276, 'num_epochs': 10, 'weights_regularization': 3.8281536467808254e-05}",0.2587530252834161,COMPLETE
32,"{'latent_space_p': 406, 'learning_rate': 0.0025464373729200815, 'phen_noise': 0.04294902267702871, 'num_epochs': 10, 'weights_regularization': 2.90993876483674e-06}",0.265481802324454,COMPLETE
33,"{'latent_space_p': 281, 'learning_rate': 0.0012796309839170211, 'phen_noise': 0.10089002117218586, 'num_epochs': 9, 'weights_regularization': 1.022432387369121e-05}",0.32096778104702633,COMPLETE
34,"{'latent_space_p': 203, 'learning_rate': 0.0008647988052968419, 'phen_noise': 0.007393233038209496, 'num_epochs': 8, 'weights_regularization': 9.985414270312054e-05}",0.306477852165699,COMPLETE
35,"{'latent_space_p': 479, 'learning_rate': 0.0015556770926619052, 'phen_noise': 0.018500845353068163, 'num_epochs': 2, 'weights_regularization': 2.420539697030987e-06}",0.3108895644545555,COMPLETE
36,"{'latent_space_p': 347, 'learning_rate': 0.0023814029884366267, 'phen_noise': 0.05412030726768657, 'num_epochs': 10, 'weights_regularization': 5.47307232384653e-06}",0.269641933341821,COMPLETE
37,"{'latent_space_p': 374, 'learning_rate': 0.00028230429254266857, 'phen_noise': 0.36245274109652525, 'num_epochs': 5, 'weights_regularization': 1.2992649426046653e-05}",0.3755651190876961,COMPLETE
38,"{'latent_space_p': 272, 'learning_rate': 0.0006282433163273275, 'phen_noise': 0.003415018629576406, 'num_epochs': 9, 'weights_regularization': 0.0001730174451486175}",0.3036566972732544,COMPLETE
39,"{'latent_space_p': 147, 'learning_rate': 0.0033488940822618274, 'phen_noise': 0.0017959809819725924, 'num_epochs': 7, 'weights_regularization': 3.409419071303043e-05}",0.3447588061292966,COMPLETE
40,"{'latent_space_p': 426, 'learning_rate': 0.0010249520147820167, 'phen_noise': 0.014528176431614883, 'num_epochs': 3, 'weights_regularization': 1.419410818533613e-06}",0.31087158372004825,COMPLETE
41,"{'latent_space_p': 472, 'learning_rate': 0.0014052745255275394, 'phen_noise': 0.02614337632154979, 'num_epochs': 10, 'weights_regularization': 5.493171280954282e-05}",0.2867311363418897,COMPLETE
42,"{'latent_space_p': 445, 'learning_rate': 0.0011910824540180094, 'phen_noise': 0.029075467050998508, 'num_epochs': 10, 'weights_regularization': 0.0003301729475534031}",0.25388053183754283,COMPLETE
43,"{'latent_space_p': 445, 'learning_rate': 0.0009553033753419675, 'phen_noise': 0.0077018305161501936, 'num_epochs': 10, 'weights_regularization': 0.00040392011481179917}",0.2777445415655772,COMPLETE
44,"{'latent_space_p': 485, 'learning_rate': 0.0006494571401608814, 'phen_noise': 0.030116255747151773, 'num_epochs': 9, 'weights_regularization': 0.0013851265539965337}",0.27322786549727124,COMPLETE
45,"{'latent_space_p': 441, 'learning_rate': 0.002132692040339066, 'phen_noise': 0.05020796908694661, 'num_epochs': 10, 'weights_regularization': 0.0051313641886692315}",0.29380788405736286,COMPLETE
46,"{'latent_space_p': 407, 'learning_rate': 0.0011010911749758793, 'phen_noise': 0.01367583103813924, 'num_epochs': 9, 'weights_regularization': 0.0002566149040459319}",0.3100498119990031,COMPLETE
47,"{'latent_space_p': 307, 'learning_rate': 0.0004459203498990856, 'phen_noise': 0.008807150118150468, 'num_epochs': 8, 'weights_regularization': 0.0005901976586030997}",0.31101079285144806,COMPLETE
48,"{'latent_space_p': 360, 'learning_rate': 0.002010682279898792, 'phen_noise': 0.004298645675878128, 'num_epochs': 6, 'weights_regularization': 0.00011549207599033807}",0.28898285577694577,COMPLETE
49,"{'latent_space_p': 498, 'learning_rate': 0.0033134038909563533, 'phen_noise': 0.2894494461603347, 'num_epochs': 10, 'weights_regularization': 2.541150611850904e-05}",0.3303740819295247,COMPLETE
50,"{'latent_space_p': 417, 'learning_rate': 0.0015526445979908883, 'phen_noise': 0.11682029822774802, 'num_epochs': 8, 'weights_regularization': 6.418233252614625e-06}",0.2842215225100517,COMPLETE
51,"{'latent_space_p': 463, 'learning_rate': 0.0011133326433589736, 'phen_noise': 0.03456989598551919, 'num_epochs': 10, 'weights_regularization': 4.0739750630156974e-05}",0.27562711884578067,COMPLETE
52,"{'latent_space_p': 478, 'learning_rate': 0.0013018710089600426, 'phen_noise': 0.028467725010474492, 'num_epochs': 10, 'weights_regularization': 8.472781462118829e-05}",0.29334622621536255,COMPLETE
53,"{'latent_space_p': 452, 'learning_rate': 0.0008859073669024265, 'phen_noise': 0.017612034830912743, 'num_epochs': 9, 'weights_regularization': 0.00018319803826974846}",0.27826977521181107,COMPLETE
54,"{'latent_space_p': 382, 'learning_rate': 0.002854721819018892, 'phen_noise': 0.06957544605406488, 'num_epochs': 10, 'weights_regularization': 0.0003004953193555433}",0.2864347919821739,COMPLETE
55,"{'latent_space_p': 435, 'learning_rate': 0.00429089751842005, 'phen_noise': 0.039086446663351856, 'num_epochs': 9, 'weights_regularization': 1.3892753719695067e-05}",0.29806183526913327,COMPLETE
56,"{'latent_space_p': 480, 'learning_rate': 0.0016357201091656086, 'phen_noise': 0.012795761280069578, 'num_epochs': 10, 'weights_regularization': 2.8812809175500474e-05}",0.2692652295033137,COMPLETE
57,"{'latent_space_p': 228, 'learning_rate': 0.0019315822473155535, 'phen_noise': 0.010063433469491517, 'num_epochs': 9, 'weights_regularization': 6.805129924842295e-05}",0.3035128166278203,COMPLETE
58,"{'latent_space_p': 460, 'learning_rate': 0.0012054865682327664, 'phen_noise': 0.020939922905205, 'num_epochs': 10, 'weights_regularization': 1.6961977586812223e-06}",0.24885421494642893,COMPLETE
59,"{'latent_space_p': 118, 'learning_rate': 0.0005283786163553018, 'phen_noise': 0.02175971730854917, 'num_epochs': 9, 'weights_regularization': 1.9902318142467517e-06}",0.44996239989995956,COMPLETE
60,"{'latent_space_p': 500, 'learning_rate': 0.0007396824024354613, 'phen_noise': 0.006783974559568999, 'num_epochs': 10, 'weights_regularization': 4.076862030122224e-06}",0.28660768270492554,COMPLETE
61,"{'latent_space_p': 457, 'learning_rate': 0.0012954533499053471, 'phen_noise': 0.02485241643120147, 'num_epochs': 10, 'weights_regularization': 3.327242395606708e-06}",0.30591047058502835,COMPLETE
62,"{'latent_space_p': 415, 'learning_rate': 0.0015210201274287898, 'phen_noise': 0.048857431094904126, 'num_epochs': 10, 'weights_regularization': 1.0691708218958292e-06}",0.26834825177987415,COMPLETE
63,"{'latent_space_p': 465, 'learning_rate': 0.001119880897866229, 'phen_noise': 0.06961949495007992, 'num_epochs': 10, 'weights_regularization': 1.6775964159005521e-06}",0.27037709206342697,COMPLETE
64,"{'latent_space_p': 435, 'learning_rate': 0.0022277106751140384, 'phen_noise': 0.032610405890446933, 'num_epochs': 9, 'weights_regularization': 9.715303771412715e-06}",0.30197539180517197,COMPLETE
65,"{'latent_space_p': 483, 'learning_rate': 0.0018010379839853668, 'phen_noise': 0.004579123971885995, 'num_epochs': 9, 'weights_regularization': 1.921115589692089e-05}",0.2607673990229766,COMPLETE
66,"{'latent_space_p': 393, 'learning_rate': 0.0009544611646714608, 'phen_noise': 0.016359062772439394, 'num_epochs': 10, 'weights_regularization': 5.340407436712549e-06}",0.2851462587714195,COMPLETE
67,"{'latent_space_p': 450, 'learning_rate': 0.0007359307223000871, 'phen_noise': 0.0027006939553189157, 'num_epochs': 5, 'weights_regularization': 1.7935033716450958e-06}",0.28679213921229046,COMPLETE
68,"{'latent_space_p': 488, 'learning_rate': 0.0012156301862577346, 'phen_noise': 0.009173964508245992, 'num_epochs': 10, 'weights_regularization': 0.0011618371461292875}",0.32317539552847546,COMPLETE
69,"{'latent_space_p': 464, 'learning_rate': 0.0029299725239968853, 'phen_noise': 0.0205956875262002, 'num_epochs': 8, 'weights_regularization': 2.4277706945094247e-06}",0.2647353758414586,COMPLETE
70,"{'latent_space_p': 359, 'learning_rate': 0.001424746272583278, 'phen_noise': 0.8329636659072643, 'num_epochs': 1, 'weights_regularization': 0.0021806433394572305}",0.5485375374555588,COMPLETE
71,"{'latent_space_p': 486, 'learning_rate': 0.00184803207379746, 'phen_noise': 0.005587120747977507, 'num_epochs': 9, 'weights_regularization': 2.171005215593115e-05}",0.25850920379161835,COMPLETE
72,"{'latent_space_p': 469, 'learning_rate': 0.0017495026160905863, 'phen_noise': 0.00508683763675276, 'num_epochs': 10, 'weights_regularization': 1.3171148041378374e-05}",0.26757776240507763,COMPLETE
73,"{'latent_space_p': 489, 'learning_rate': 0.0008336150299913704, 'phen_noise': 0.011469989428576115, 'num_epochs': 10, 'weights_regularization': 4.053844963497742e-05}",0.23631704598665237,COMPLETE
74,"{'latent_space_p': 487, 'learning_rate': 0.0008709015421867406, 'phen_noise': 0.006167855831622494, 'num_epochs': 9, 'weights_regularization': 2.268282920109283e-05}",0.26491377254327136,COMPLETE
